Depth	Year	2sigma
0	1999	2
1	1990	3
2	1980	4
2.3	1977	4
3	1970	5
3.7	1964	5
4	1961	6
5	1951	6
5.8	1944	7
6	1942	7
7	1932	7
8	1923	8
9	1913	9
10	1904	10
11	1895	11
11.5	1890	12
12	1885	13
13	1876	13
13.1	1875	13
14	1867	14
15	1857	15
16	1848	16
16.4	1844	16
17	1839	17
18	1830	18
19	1821	19
20	1812	21
21	1803	21
22	1794	22
22.8	1787	23
23	1785	23
24	1776	24
25	1768	25
26	1759	26
27	1750	27
28	1742	29
29	1733	29
30	1725	30
31	1717	31
32	1708	32
33	1700	34
34	1692	34
35	1684	35
36	1676	36
37	1668	37
38	1660	38
39	1652	38
40	1644	39
41	1636	40
42	1629	41
43	1621	42
44	1614	42
45	1606	42
46	1599	43
47	1591	44
48	1584	45
49	1577	45
50	1569	46
51	1562	46
52	1555	47
53	1548	47
54	1541	48
55	1534	48
56	1527	48
57	1520	50
58	1513	50
59	1506	50
60	1499	51
61	1492	51
62	1485	51
63	1478	52
64	1471	53
65	1464	53
66	1457	53
67	1450	54
68	1443	54
69	1436	55
70	1429	55
71	1422	55
72	1414	56
73	1407	56
74	1400	57
75	1393	57
76	1386	58
77	1378	59
78	1371	60
79	1363	59
80	1356	60
81	1348	61
82	1341	61
83	1333	62
84	1325	62
85	1317	64
86	1309	64
87	1301	65
88	1293	66
89	1285	66
90	1277	67
91	1268	68
92	1260	68
93	1251	69
94	1243	70
95	1234	70
96	1225	71
97	1216	73
98	1207	73
99	1198	74
100	1189	75
101	1180	75
102	1170	76
103	1161	77
104	1151	78
105	1142	78
106	1132	79
107	1122	80
108	1112	82
109	1102	82
110	1092	83
111	1082	85
112	1072	85
113	1062	85
114	1051	87
115	1041	88
116	1031	88
117	1020	89
118	1009	90
119	999	91
120	988	92
121	977	93
122	966	94
123	955	95
124	944	96
125	933	97
126	922	98
127	911	99
128	900	100
129	889	100
130	877	102
131	866	102
132	854	103
133	843	104
134	832	105
135	820	106
136	809	107
137	797	108
138	785	108
139	774	109
140	762	110
141	750	111
142	739	111
143	727	112
144	715	113
145	703	114
146	691	114
147	679	115
148	667	116
149	655	117
150	643	117
151	631	117
152	619	119
153	607	119
154	595	119
155	583	120
156	570	120
157	558	121
158	546	121
159	533	122
160	521	122
161	509	123
162	496	122
163	484	123
164	471	124
165	459	123
166	446	124
167	434	124
168	421	124
169	408	124
170	396	124
171	383	125
172	370	125
173	357	125
174	345	124
175	332	124
176	319	124
177	306	124
178	293	124
179	280	124
180	267	124
181	254	123
182	241	123
183	228	124
184	215	123
185	202	123
186	189	122
187	175	122
188	162	121
189	149	120
190	136	121
191	122	120
192	109	119
193	96	118
194	82	118
195	69	117
196	55	116
197	42	116
198	28	115
199	15	114
200	1	113
201	-13	112
202	-26	112
203	-40	111
204	-54	110
205	-67	109
206	-81	108
