Depth	Year	ChallaBIT
2	1980	0.680458008
6	1942	0.610640007
10	1904	0.628582783
14	1867	0.616899472
18	1830	0.600898921
22	1794	0.515224435
26	1759	0.483485772
30	1725	0.645484559
34	1692	0.600473699
38	1660	0.610239441
42	1629	0.724503395
46	1599	0.67597136
50	1569	0.729046546
54	1541	0.636054996
58	1513	0.559378075
62	1485	0.628762006
66	1457	0.596532628
70	1429	0.655785091
74	1400	0.613321636
78	1371	0.557872094
82	1341	0.596067543
86	1309	0.602677228
90	1277	0.547697055
94	1243	0.504008864
98	1207	0.563720204
102	1170	0.464438768
106	1132	0.66
110	1092	0.600103857
114	1051	0.609255662
118	1009	0.637081913
126	922	0.750639192
134	832	0.792351342
146	691	0.651668578
158	546	0.599509317
162	496	0.717512385
170	396	0.665245334
182	241	0.583243098
194	82	0.576470514
