Depth	Year	Mginv
0.5	1974	-16.29
1.5	1973.3	-16.93
2.5	1972.5	-16.26
3.5	1971.6	-15.98
4.5	1970.5	-16.48
5.5	1969.3	-16.1
6.5	1968	-16.82
7.5	1966.5	-16.99
8.5	1965	-16.51
9.5	1963.3	-16.85
10.5	1961.5	-16.1
11.5	1959.6	-17.74
12.5	1957.6	-17.79
13.5	1955.5	-16.54
14.5	1953.2	-17.18
15.5	1950.9	-14.62
16.5	1948.5	-15.68
17.5	1946	-15.9
18.5	1943.4	-16.76
19.5	1940.7	-15.98
20.5	1937.9	-16.43
21.5	1935.1	-16.32
22.5	1932.1	-16.4
23.5	1929.1	-16.87
24.5	1926	-16.71
25.5	1922.8	-16.9
26.5	1919.5	-16.62
27.5	1916.2	-16.73
28.5	1912.8	-16.71
29.5	1909.3	-16.76
30.5	1905.8	-16.79
31.5	1902.2	-17.04
32.5	1898.5	-16.35
33.5	1894.8	-16.4
34.5	1891	-16.12
35.5	1887.2	-16.1
36.5	1883.3	-15.98
37.5	1879.3	-16.99
38.5	1875.3	-17.71
39.5	1871.3	-17.68
40.5	1867.2	-18.71
41.5	1863	-18.32
42.5	1858.8	-18.85
43.5	1854.6	-18.65
44.5	1850.3	-17.96
45.5	1846	-17.65
46.5	1841.7	-17.15
47.5	1837.3	-16.99
48.5	1832.9	-17.15
49.5	1828.4	-17.07
50.5	1824	-16.6
51.5	1819.4	-17.35
52.5	1814.9	-16.26
53.5	1810.3	-17.15
54.5	1805.7	-16.51
55.5	1801.1	-15.4
56.5	1796.5	-16.1
57.5	1791.8	-16.71
58.5	1787.1	-17.6
59.5	1782.4	-17.49
60.5	1777.7	-17.43
61.5	1772.9	-18.6
62.5	1768.2	-18.9
63.5	1763.4	-20.26
64.5	1758.6	-20.32
65.5	1753.8	-20.99
66.5	1749	-20.15
67.5	1744.2	-20.32
68.5	1739.4	-19.74
69.5	1734.5	-20.26
70.5	1729.7	-21.07
71.5	1724.8	-22.32
72.5	1720	-22.77
73.5	1715.1	-22.27
74.5	1710.3	-21.71
75.5	1705.4	-21.6
76.5	1700.5	-21.01
77.5	1695.6	-21.49
78.5	1690.8	-21.43
79.5	1685.9	-21.07
80.5	1681	-20.15
81.5	1676.2	-20.6
82.5	1671.3	-20.43
83.5	1666.5	-20.54
84.5	1661.6	-20.15
85.5	1656.8	-20.32
86.5	1651.9	-20.76
87.5	1647.1	-20.6
88.5	1642.2	-19.6
89.5	1637.4	-20.88
