Depth	Year	MalawiTMAR
0	1978	32.82197654
6	1972	29.92937572
13	1965	28.05503655
20	1958	26.6387168
27	1951	24.84384399
28	1950	21.46943226
33	1945	21.56690977
40	1938	21.05717873
47	1931	21.19461585
53	1925	20.99503667
62	1916	21.0202323
69	1909	20.93656076
70	1908	22.16143639
76	1902	23.19767422
82	1896	24.32253731
87	1891	24.69974984
89	1889	24.45957388
93	1885	24.48303056
94	1884	25.01531841
99	1879	24.72362588
100	1878	24.9545382
105	1873	24.52953608
107	1871	23.63643764
111	1867	21.60934353
112	1866	21.74179821
124	1854	21.81657132
126	1852	22.17766086
131	1847	23.54095494
132	1846	23.51099978
138	1840	23.57819646
144	1834	23.38473915
145	1833	23.41430318
148	1830	22.85390754
152	1826	22.10857735
153	1825	22.37875841
158	1820	21.13364229
159	1819	21.57877591
163	1815	21.69458604
164	1814	22.01055364
169	1809	21.58326645
170	1808	21.08869021
176	1802	20.76055203
177	1801	20.74279143
183	1795	18.297693
184	1794	17.98169603
191	1787	17.9019935
197	1781	18.07759861
199	1779	18.02779393
205	1773	18.71980525
213	1765	18.25822813
217	1761	18.32374304
219	1759	18.07394264
226	1752	18.23149975
233	1745	18.54240821
236	1742	18.59619942
240	1738	18.62453868
248	1730	19.54636564
250	1728	19.07558662
253	1725	17.89274205
258	1720	17.35738563
260	1718	17.67261785
267	1711	17.48859962
269	1709	16.71483505
270	1708	15.69193303
278	1700	15.96634929
279	1699	15.492897
286	1692	15.93888228
289	1689	15.42737779
294	1684	15.46471407
295	1683	14.56674525
298	1680	15.10258723
300	1678	16.90787936
301	1677	18.84898357
304	1674	20.66110706
309	1669	20.56037245
315	1663	21.22188514
322	1656	20.73029966
328	1650	20.88968024
336	1642	21.30336049
344	1634	20.22280154
351	1627	19.50972392
360	1618	19.3380988
369	1609	19.87644848
377	1601	20.07133898
384	1594	19.06676648
394	1584	19.27655039
402	1576	19.26174802
411	1567	19.22182393
420	1558	18.82498463
430	1548	20.12318455
438	1540	20.93304119
449	1529	22.25910344
459	1519	22.862312
468	1510	23.16196889
474	1504	23.62886447
481	1497	25.95791472
487	1491	27.60956717
494	1484	27.61544785
501	1477	26.40021813
510	1468	26.11859999
516	1462	24.88459926
524	1454	24.67829647
533	1445	24.72828635
542	1436	26.55814974
549	1429	25.33886748
558	1420	25.87824553
566	1412	26.07452902
573	1405	25.99379501
578	1400	27.06162815
587	1391	27.72176892
595	1383	27.4552558
604	1374	25.33051269
609	1369	25.87704349
616	1362	25.89299569
625	1353	26.02529022
634	1344	26.11600645
642	1336	27.64528947
650	1328	29.10599803
658	1320	30.78641966
666	1312	31.79994442
674	1304	31.87441616
679	1299	30.76514472
684	1294	30.86360402
691	1287	32.15465522
700	1278	28.60781387
708	1270	29.09243318
