Depth	Year	SWDinv
0.5	1971	-19.01
1.5	1970	-16.51
2.5	1969	-17.9
3.5	1968	-19.2
4.5	1967	-19.36
5.5	1966	-17.51
6.5	1965	-22.28
7.5	1963	-17.32
8.5	1961	-22.05
9.5	1959	-33.26
10.5	1957	-38.44
11.5	1954.5	-34.46
12.5	1952	-32.33
13.5	1949	-37.84
14.5	1946	-35.46
15.5	1943	-62.72
16.5	1940	-47.37
17.5	1937	-45.55
19.5	1933.5	-59.57
20.5	1930	-58.85
21.5	1926.5	-57.88
22.5	1923	-61.28
23.5	1919.5	-57.87
24.5	1916	-40.89
25.5	1912.5	-47.35
26.5	1908.5	-37.92
27.5	1904.5	-41.19
28.5	1900.5	-48.65
29.5	1896	-53.64
30.5	1891.5	-48.64
31.5	1886.5	-54.35
32.5	1881.5	-39.8
33.5	1876	-53.72
34.5	1870.5	-44.6
35.5	1865	-58.35
37.5	1859.5	-62.79
38.5	1854	-65.53
39.5	1848.5	-67.76
40.5	1843	-51.01
41.5	1837.5	-66.95
42.5	1832	-65.24
43.5	1826.5	-65.93
44.5	1821	-52.79
45.5	1815.5	-73.35
46.5	1810	-73.27
47.5	1804.5	-66.6
48.5	1799	-48.74
49.5	1793.5	-69.69
50.5	1788	-71.49
51.5	1782.5	-69.48
52.5	1777	-38.08
53.5	1771.5	-46.09
54.5	1766	-48.56
55.5	1760.5	-38.03
56.5	1755	-27.48
57.5	1749.3	-33.12
58.5	1743.6	-34.9
59.5	1737.8	-32.53
60.5	1732	-20.5
61.5	1726.1	-34.72
62.5	1720.2	-22.93
63.5	1714.2	-36.48
64.5	1708.2	-29.44
65.5	1702	-39.69
66.5	1695.8	-43.89
67.5	1689.6	-46.67
68.5	1683.4	-32.93
70.5	1671	-43.11
71.5	1664.8	-47.76
72.5	1658.6	-32.2
73.5	1652.4	-59.12
74.5	1646.2	-50.99
75.5	1640	-52.66
76.5	1633.8	-37.98
77.5	1627.6	-49.73
78.5	1621.4	-40.42
79.5	1615.2	-32.44
80.5	1609	-36.79
81.5	1602.8	-25.92
82.5	1596.6	-20.77
83.5	1590.4	-19
84.5	1584.2	-13.35
85.5	1578	-19.08
86.5	1571.8	-15.9
87.5	1565.6	-14.04
88.5	1559.4	-9.72
89.5	1553.2	-7.28
90.5	1547	-13.67
91.5	1540.8	-12.53
92.5	1534.6	-10.99
93.5	1528.4	-14.75
94.5	1522.2	-15.35
95.5	1516	-12.31
96.5	1509.8	-11.46
97.5	1503.6	-14.73
98.5	1497.4	-12.11
99.5	1491.2	-15.01
100.5	1485	-13.77
101.5	1478.8	-17.49
102.5	1472.6	-10.53
103.5	1466.4	-10.63
104.5	1460.2	-18.06
105.5	1454	-10.48
106.5	1447.8	-27.76
107.5	1441.6	-18.58
108.5	1435.4	-18.55
109.5	1429.2	-19.74
110.5	1423	-19.53
111.5	1416.8	-22.79
112.5	1410.6	-31.35
113.5	1404.4	-26.24
114.5	1398.2	-24.18
115.5	1392	-43.17
116.5	1385.8	-59.6
117.5	1379.6	-56.92
118.5	1373.4	-56.18
119.5	1367.2	-53.23
120.5	1361	-25.64
121.5	1354.8	-27.06
122.5	1348.6	-55.62
123.5	1342.4	-50.89
124.5	1336.2	-59.6
125.5	1330	-49.25
126.5	1323.8	-50.1
127.5	1317.6	-41.22
128.5	1311.4	-44.55
129.5	1305.2	-48.74
130.5	1299	-42.65
131.5	1292.8	-41.84
132.5	1286.6	-38.76
133.5	1280.4	-44.68
134.5	1274.2	-45.82
135.5	1268	-49.18
136.5	1261.8	-43.58
137.5	1255.6	-53.79
138.5	1249.4	-44.62
139.5	1243.2	-55.13
140.5	1237	-58.1
141.5	1230.8	-58.3
142.5	1224.6	-55.4
143.5	1218.4	-57.64
144.5	1212.2	-60.84
145.5	1206	-63.56
146.5	1199.8	-64.23
147.5	1193.6	-57.78
148.5	1187.4	-61.26
149.5	1181.2	-45.44
150.5	1175	-43.66
151.5	1168.8	-47.99
152.5	1162.6	-46.9
153.5	1156.4	-43.86
154.5	1150.2	-42.47
155.5	1144	-40.63
156.5	1137.8	-39.78
157.5	1131.6	-46.78
158.5	1125.4	-47.79
159.5	1119.2	-46.25
160.5	1113	-42.99
161.5	1106.8	-47.14
162.5	1100.6	-41.4
163.5	1094.4	-43.19
164.5	1088.2	-49.58
165.5	1082	-40.36
166.5	1075.8	-46.41
167.5	1069.6	-45.35
168.5	1063.4	-42.57
169.5	1057.2	-39.22
170.5	1051	-41.94
171.5	1044.8	-38.99
172.5	1038.6	-41.13
173.5	1032.4	-44.98
